Name,Description,Average Score,Number of Reviews
13th Age,"From the back cover:

The World Won't Save Itself

Prophecies fail. Demons invade, living dungeons rip towards the surface, and the Empire's protectors falter. The great icons who shape the world arm for war.

So what's it going to be, heroes? Risk everything to forge your own epic history? Or grab the best loot and escape into the shadows?

13th Age is a d20-rolling fantasy game of battle, treasure, group storytelling, and heroic adventure.

For Players:

     Your character's &quot;one unique thing&quot; ensures there's no one else like you.
     Alliances and enmities with icons such as the Archmage, Lich King, and Prince of Shadows give your character a place in the world's story, even at first level.
     Streamlined and flexible combat rules create fast-moving, free flowing battles.
     Character backgrounds let you invent the stories that shape your skills.


As a GM:

     Design monsters and adventures quickly.
     Surprise yourself and your players with plot hooks from characters' backgrounds and unique features.
     Improve any d20-rolling game with mechanics such as the escalation die and incremental advance.


13th Age: Forge heroes. Shape the world. Be legendary.",7.90114,131
The 23rd Letter,"From the publisher:

The time is now.

Psychics exist, not many, but enough - enough to worry those in power, and interest those who seek power. Governments and Corporations fight over them. The Network provides an imperfect refuge for those that escape the clutches of those who would abuse them or their powers.Thousands are maimed and killed each year by the Corporations and Governments. Some do this for power, some for defence, but they all do it, - for the next war will be fought with the mind - and the victor will control the destiny of the human race.",0,0
2300 AD,2300AD is a hard science-fiction role-playing game set in the early years of the 24th century. It is a revised renamed second edition of Traveller: 2300.,7.28917,60
3D&T,"from the manual:
Este guia n&atilde;o inclui orienta&ccedil;&otilde;es para mestres, vantagens &uacute;nicas, e grande parte das vantagens, desvantagens e regras de combate avan&ccedil;adas. O motivo &eacute; simples: seu objetivo &eacute; salvar mestres experientes em situa&ccedil;&otilde;es desastrosas (como quando, por exemplo, em uma nova mesa muitos jogadores iniciantes enrolam com o grande livro de regras por horas, ou mesmo quando aquele seu &ldquo;amigo&rdquo;, sem avisar, aparece para fazer uma visita e resolve entrar na mesa de RPG e voc&ecirc; precisa que ele fa&ccedil;a sua ficha r&aacute;pido, e sem fazer muitas perguntas) e ajudar a introduzir jogadores iniciantes nos conceitos de 3D&amp;T.

[english translation]
This guide does not include guidelines for game masters, unique benefits, a large part of the advantages, disadvantages or advanced combat rules. The reason is simple: the goal is to save experienced game masters in disastrous situations (such as when, for example, in a new game many beginning players curl up with the main rule book for hours, or her &quot;friend&quot;, visits unannounced and decides to play and you need to set them up quickly, without too many questions) and help to introduce players beginners in the concepts of 3D&amp;T.",7,1
7th Sea,"The first of two core rulebooks for the 7th Sea roleplaying game.

The Player's Guide includes a description of the basic mechanics of the game, rules for character creation, and an overview of the nations and secret societies that inhabit the setting.

Back of the Book:

Swashbuckling and Sorcery
Piracy and Exploration
Espionage and Intrigue
Welcome to the New World

7th Sea is a game of action and high adventure in a world of musketeers, pirates, secret societies and political intrigue. Players take the roles of heroes bent o&shy;n thwarting the plots of knaves and villains, exploring ancient ruins and plundering the treasure fleets of tyrants. Everything a player needs is included in the pages of this book.


     Easy to get started: The book opens with a Quick Start Guide so you can start playing within minutes. 
     A Complete New World: Players will find almost o&shy;ne hundred pages devoted to Theah, the world of 7th Sea. 
     Flexible rules: 7th Sea uses a unique bidding system, giving players and Game Masters control over the mechanics of the game. 
     Advice for Novice and Experienced Players: If you've never played a roleplaying game before, or if you're an &quot;old school&quot; veteran, you'll find tons of hints and advice to help you act and interact within the world of 7th Sea.


The Indispensible guide for players of the 7th Sea Roleplaying game.",7.57759,116
Aberrant,"Your Legacy Is Our Future

Golden age or Hell on Earth? To the residents of the Trinity Universe, the 21st century was a monstrous era when mad gods ran rampant across the world. But is this truth or OpNet propaganda? What was the Age of Aberrants really like? Find out the truth. Its not what you expect.
Age of Hope, Age of Sacrifice

Aberrant is a core rulebook and prequel to the Trinity science-fiction game that deals with the Aberrant Era. Set in the early 21st century, before the devastating war against humanity, this new complete roleplaying game allows you to be one of these doomed beings of vast power, and to experience their struggles to avoid the coming cataclysm.",6.96875,72
ACE Agents!,"From the back of the book:

A.C.E. Agents! is an adventure game set in a universe of spies, counterspies, running battles, high technology, and intrigue. As an A.C.E. Agent, you'll battle P.Y.T.H.O.N., a group of evil criminals out to dominate the world. The only things standing between P.Y.T.H.O.N. and world domination are you, your fellow A.C.E. Agents, and the fact that the Elite Council of P.Y.T.H.O.N. can't decide what the acronym of their name stands for. So buy this game, join A.C.E. and save the world!",6,1
Active Exploits,"This is the free downloadable edition of Active Exploits - Version 1.1, according to the title page.

FEATURES:

* Basic, Advanced, and Live Action (LARP) Rules
    * Custom rules and information for the Arcane (magic and the occult) and Martial Arts
    * Plus, director's notes, and more.",5.85,10
Editions of Dungeons & Dragons,"The first boxed set in the Complete Dungeon Master series. Designed for use with any fantasy roleplaying system, rules are included for D&amp;D, AD&amp;D and Runequest.

Contents from back of box:

Fully detailed 24-page scenario
10 scenic illustrations on artboard
3-piece dungeon master's screen
12 sheets (A4) of floor plans
4 full pages of maps, scrolls, etc.
4 large cards of NPC statistics

This adventure was later reworked for Warhammer Fantasy Roleplay and published under the name 'Dwarf Wars'.",6.66667,3
Advanced Fighting Fantasy,"From the publisher's website:

The huge success of the Fighting Fantasy gamebooks spawned, in 1989, a full-blown Roleplaying game based upon the same fantasy world. Originally published as three separate books, this classic game has now been revised, re-written and re-released for a new generation of gamers. Revised rules, brand new material and original illustrations combine to make this a classic RPG for the modern age.

The new version of Advanced Fighting Fantasy is perfect for original fans of the game, experienced roleplayers new to Fighting Fantasy and is ideal for those new to roleplaying.

Onwards to adventure!",7.73913,23
